,index,Address,Location,Price,Bed,Bath,Size,City,full_address,latitude,longitude,dist_to_costco,grand_dist,older_dist,younger_dist
0,0,"Jesco Hills, Lafayette, IN",2519 Rainbow Dr,319000.0,4.0,4.0,3437.0,Lafayette,"2519 Rainbow Dr Jesco Hills, Lafayette, IN, United States",40.428314,-86.865967,48.83152408451641,4.724058728076005,48.45868099149342,32.055756007225696
1,1,"Lafayette, IN",4118 Penny Packers Mill Rd,225000.0,3.0,3.0,2014.0,Lafayette,"4118 Penny Packers Mill Rd Lafayette, IN, United States",40.356407,-86.881485,46.007856459359374,1.1608236340155365,46.397309263586834,29.00862214754039
2,2,"Lafayette, IN",1423 Sourgum Ln,207000.0,3.0,3.0,1996.0,Lafayette,"1423 Sourgum Ln Lafayette, IN, United States",40.395855,-86.829083,45.8693452474836,2.963419750257485,45.569351451959754,29.090137103668496
3,3,"Lafayette, IN",4305 Fletcher Dr,214900.0,4.0,3.0,3592.0,Lafayette,"4305 Fletcher Dr Lafayette, IN, United States",40.355457,-86.847656,44.630985027925725,0.7230375812370485,44.83774800536446,27.67884738869664
4,4,"West Lafayette, IN",124 S 875 W,285000.0,3.0,3.0,2000.0,West Lafayette,"124 S 875 W West Lafayette, IN, United States",40.414595,-87.069837,56.254696103075744,11.694371682853772,57.01509736683968,39.21587085039759
5,5,"West Lafayette, IN",2135 Ringneck Rd,319000.0,4.0,4.0,2432.0,West Lafayette,"2135 Ringneck Rd West Lafayette, IN, United States",40.44897,-86.959076,53.327860236117914,8.061973359617038,53.287868364436655,36.400477687492355
6,6,"Lafayette, IN",2101 Fieldstone Dr,314900.0,4.0,3.0,2276.0,Lafayette,"2101 Fieldstone Dr Lafayette, IN, United States",40.351856,-86.86454,45.12801152586064,0.6108864268800224,45.468501018914274,28.14160293394348
7,7,"Lafayette, IN",4030 Fletcher Dr,210000.0,3.0,3.0,3036.0,Lafayette,"4030 Fletcher Dr Lafayette, IN, United States",40.359222,-86.848447,44.83738299820875,0.6121473604602657,45.01084020668347,27.893135660860843
8,8,"Lafayette, IN",2604 Margesson Xing,177000.0,3.0,3.0,2400.0,Lafayette,"2604 Margesson Xing Lafayette, IN, United States",40.356659,-86.855088,44.97694599003802,0.34693117716553623,45.21488109213016,28.014826471429977
9,9,"Prophet's Ridge, West Lafayette, IN",4523 Joshua Ct,215000.0,3.0,3.0,1920.0,West Lafayette,"4523 Joshua Ct Prophet's Ridge, West Lafayette, IN, United States",40.4823459,-86.8962337,52.641368048664944,8.655257747156046,51.99255625097596,35.962264835001974
