,Address,Location,Price,Bed,Bath,Size
0,"Jesco Hills, Lafayette, IN",2519 Rainbow Dr,"$319,000",4bd,4ba,"3,437 sqft"
1,"Lafayette, IN",4118 Penny Packers Mill Rd,"$225,000",3bd,3ba,"2,014 sqft"
2,"Lafayette, IN",1423 Sourgum Ln,"$207,000",3bd,3ba,"1,996 sqft"
3,"Lafayette, IN",4305 Fletcher Dr,"$214,900",4bd,3ba,"3,592 sqft"
4,"West Lafayette, IN",124 S 875 W,"$285,000",3bd,3ba,"2,000 sqft"
5,"West Lafayette, IN",2135 Ringneck Rd,"$319,000",4bd,4ba,"2,432 sqft"
6,"Lafayette, IN",2101 Fieldstone Dr,"$314,900",4bd,3ba,"2,276 sqft"
7,"Lafayette, IN",4030 Fletcher Dr,"$210,000",3bd,3ba,"3,036 sqft"
8,"Lafayette, IN",2604 Margesson Xing,"$177,000",3bd,3ba,"2,400 sqft"
9,"Prophet's Ridge, West Lafayette, IN",4523 Joshua Ct,"$215,000",3bd,3ba,"1,920 sqft"
10,"Lafayette, IN",4277 Tripoli Dr,"$319,900",3bd,3ba,"2,121 sqft"
11,"University Farms, West Lafayette, IN",3377 Morgan St,"$315,000",4bd,3ba,"2,250 sqft"
12,"West Lafayette, IN",4517 Hayloft Dr #192,"$298,900",3bd,2ba,"1,793 sqft"
13,"Delphi, IN",5990 W 252 N,"$279,900",3bd,3ba,"2,706 sqft"
14,"Jesco Hills, Lafayette, IN",2519 Rainbow Dr,"$319,000",4bd,4ba,"3,437 sqft"
15,"Lafayette, IN",4118 Penny Packers Mill Rd,"$225,000",3bd,3ba,"2,014 sqft"
16,"Lafayette, IN",1423 Sourgum Ln,"$207,000",3bd,3ba,"1,996 sqft"
17,"Lafayette, IN",4305 Fletcher Dr,"$214,900",4bd,3ba,"3,592 sqft"
18,"West Lafayette, IN",124 S 875 W,"$285,000",3bd,3ba,"2,000 sqft"
19,"West Lafayette, IN",2135 Ringneck Rd,"$319,000",4bd,4ba,"2,432 sqft"
20,"Lafayette, IN",2101 Fieldstone Dr,"$314,900",4bd,3ba,"2,276 sqft"
21,"Lafayette, IN",4030 Fletcher Dr,"$210,000",3bd,3ba,"3,036 sqft"
22,"Lafayette, IN",2604 Margesson Xing,"$177,000",3bd,3ba,"2,400 sqft"
23,"Prophet's Ridge, West Lafayette, IN",4523 Joshua Ct,"$215,000",3bd,3ba,"1,920 sqft"
24,"Lafayette, IN",4277 Tripoli Dr,"$319,900",3bd,3ba,"2,121 sqft"
25,"University Farms, West Lafayette, IN",3377 Morgan St,"$315,000",4bd,3ba,"2,250 sqft"
26,"West Lafayette, IN",4517 Hayloft Dr #192,"$298,900",3bd,2ba,"1,793 sqft"
27,"Delphi, IN",5990 W 252 N,"$279,900",3bd,3ba,"2,706 sqft"
28,"Jesco Hills, Lafayette, IN",2519 Rainbow Dr,"$319,000",4bd,4ba,"3,437 sqft"
